Incident.Ref.Id,Land.Dls.Id
18859,13-34-007-14W2
18858,02-06-019-16W3
18857,04-23-031-23W3
18856,14-12-050-28W3
18855,13-19-051-24W3
18854,14-26-012-19W3
18853,06-24-004-09W2
18852,11-21-016-20W3
18851,09-13-006-14W2
18850,16-11-001-13W2
18849,12-34-006-05W2
18848,05-30-005-07W2
18847,04-13-030-20W3
18846,04-08-013-24W3
18845,16-21-001-05W2
18844,02-06-012-19W3
18843,07-06-012-19W3
18842,05-23-007-20W3
18841,05-25-011-19W3
18840,15-18-036-25W3
18839,08-20-002-10W2
18838,16-33-008-07W2
18837,02-01-026-19W3
18836,04-06-050-23W3
18835,13-25-005-07W2
18834,03-18-008-05W2
18833,01-31-042-25W3
18832,04-14-001-02W2
18831,09-22-002-14W2
18830,06-02-023-18W3
18829,03-22-034-20W3
18828,01-02-020-25W3
18827,14-06-022-20W3
18826,13-34-045-23W3
18825,12-35-008-03W2
18824,16-31-001-30W1
18823,04-22-002-31W1
18822,13-21-010-07W2
18821,14-24-025-18W3
18820,01-15-007-12W2
18819,16-33-009-19W3
18818,05-19-007-12W2
18817,01-31-025-14W3
18816,14-27-001-13W2
18815,01-15-009-06W2
18814,03-26-007-11W2
18813,14-30-009-33W1
18812,16-01-006-16W2
18811,16-34-006-15W2
18810,12-05-008-32W1
18809,12-05-008-08W2
18808,16-34-009-07W2
18807,03-13-022-21W3
18806,12-26-023-18W3
18805,03-17-008-07W2
18804,04-29-004-03W2
18803,08-01-017-25W3
18802,01-11-017-18W3
18801,13-09-014-19W3
18800,10-29-031-20W3
18799,13-22-004-06W2
18798,03-17-008-07W2
18797,01-34-008-11W2
18796,01-29-007-10W2
18795,14-03-040-28W3
18794,16-13-007-08W2
18793,04-29-001-06W2
18792,09-36-007-08W2
18791,13-30-001-05W2
18790,12-21-001-12W2
18789,04-29-006-30W1
18788,13-31-001-33W1
18787,13-30-005-11W2
18786,01-31-025-14W3
18785,14-34-014-28W3
18784,04-13-008-10W2
18783,01-18-008-09W2
18782,03-07-007-11W2
18781,01-35-050-21W3
18780,05-18-009-06W2
18779,01-05-009-06W2
18778,14-15-036-03W3
18777,11-26-012-25W3
18776,08-06-019-16W3
18775,01-29-007-10W2
18774,10-32-031-19W3
18773,14-30-034-20W3
18772,09-29-036-18W2
18771,08-34-035-28W3
18770,16-14-005-04W2
